city,datetime,temp,humidity,pressure,wind_speed,wind_bearing,visibility,clouds,lat,lon
Thai Nguyen,2026-03-18 15:00:00,22.7,84,1015,3.8,147,10000,87,21.5928,105.8442
Thai Nguyen,2026-03-18 18:00:00,22.12,87,1014,1.18,111,10000,81,21.5928,105.8442
Thai Nguyen,2026-03-18 21:00:00,21.47,90,1013,1.33,109,10000,86,21.5928,105.8442
Thai Nguyen,2026-03-19 00:00:00,21.48,90,1014,1.63,127,10000,94,21.5928,105.8442
Thai Nguyen,2026-03-19 03:00:00,22.63,81,1015,2.07,142,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-19 06:00:00,25.12,71,1012,3.05,163,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-19 09:00:00,26.38,63,1009,4.05,144,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-19 12:00:00,24.36,71,1010,3.86,150,10000,93,21.5928,105.8442
Thai Nguyen,2026-03-19 15:00:00,21.89,85,1013,3.23,147,10000,96,21.5928,105.8442
Thai Nguyen,2026-03-19 18:00:00,20.83,94,1011,2.4,146,10000,92,21.5928,105.8442
Thai Nguyen,2026-03-19 21:00:00,20.89,93,1010,1.9,136,10000,83,21.5928,105.8442
Thai Nguyen,2026-03-20 00:00:00,21.37,92,1013,1.87,126,10000,88,21.5928,105.8442
Thai Nguyen,2026-03-20 03:00:00,24.71,74,1014,3.47,149,10000,96,21.5928,105.8442
Thai Nguyen,2026-03-20 06:00:00,24.86,71,1012,2.96,149,10000,98,21.5928,105.8442
Thai Nguyen,2026-03-20 09:00:00,25.04,73,1010,3.07,160,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-20 12:00:00,23.93,78,1012,4.33,153,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-20 15:00:00,22.65,83,1014,2.1,142,10000,98,21.5928,105.8442
Thai Nguyen,2026-03-20 18:00:00,22.09,87,1014,1.53,125,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-20 21:00:00,21.29,90,1013,0.99,110,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-21 00:00:00,21.64,86,1015,1.12,144,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-21 03:00:00,23.3,77,1016,1.94,128,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-21 06:00:00,24.03,76,1014,2.24,137,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-21 09:00:00,23.24,86,1012,1.39,173,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-21 12:00:00,23.01,85,1012,1.69,149,10000,98,21.5928,105.8442
Thai Nguyen,2026-03-21 15:00:00,22.64,83,1014,2.21,155,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-21 18:00:00,21.58,88,1013,1.71,145,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-21 21:00:00,21.33,91,1012,1.37,148,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-22 00:00:00,21.47,91,1014,1.73,135,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-22 03:00:00,23.03,86,1016,2.61,149,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-22 06:00:00,26.09,72,1012,2.74,182,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-22 09:00:00,26.48,69,1010,4.33,163,10000,99,21.5928,105.8442
Thai Nguyen,2026-03-22 12:00:00,23.66,80,1012,3.46,163,10000,83,21.5928,105.8442
Thai Nguyen,2026-03-22 15:00:00,22.41,83,1013,2.86,149,10000,77,21.5928,105.8442
Thai Nguyen,2026-03-22 18:00:00,21.41,88,1012,2.13,146,10000,82,21.5928,105.8442
Thai Nguyen,2026-03-22 21:00:00,21.27,90,1011,2.1,129,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-23 00:00:00,21.26,92,1013,1.99,125,10000,100,21.5928,105.8442
Thai Nguyen,2026-03-23 03:00:00,24.55,77,1014,2.81,174,10000,98,21.5928,105.8442
Thai Nguyen,2026-03-23 06:00:00,25.77,71,1011,1.67,190,10000,99,21.5928,105.8442
Thai Nguyen,2026-03-23 09:00:00,28.29,59,1009,2.97,159,10000,86,21.5928,105.8442
Thai Nguyen,2026-03-23 12:00:00,24.69,72,1010,3.58,160,10000,84,21.5928,105.8442
Hai Duong,2026-03-18 15:00:00,22.65,88,1014,3.09,123,10000,4,20.9333,106.3167
Hai Duong,2026-03-18 18:00:00,22.24,90,1014,2.39,102,10000,3,20.9333,106.3167
Hai Duong,2026-03-18 21:00:00,21.55,93,1013,2.44,108,10000,13,20.9333,106.3167
Hai Duong,2026-03-19 00:00:00,21.44,88,1014,3.03,110,10000,49,20.9333,106.3167
Hai Duong,2026-03-19 03:00:00,24.22,64,1015,4.78,156,10000,96,20.9333,106.3167
Hai Duong,2026-03-19 06:00:00,25.74,65,1012,5.34,158,10000,97,20.9333,106.3167
Hai Duong,2026-03-19 09:00:00,27.04,59,1009,6.18,151,10000,79,20.9333,106.3167
Hai Duong,2026-03-19 12:00:00,22.56,81,1011,4.94,132,10000,87,20.9333,106.3167
Hai Duong,2026-03-19 15:00:00,21.25,91,1013,3.18,115,10000,93,20.9333,106.3167
Hai Duong,2026-03-19 18:00:00,20.65,96,1011,3.67,123,10000,80,20.9333,106.3167
Hai Duong,2026-03-19 21:00:00,20.31,97,1010,2.93,114,10000,29,20.9333,106.3167
Hai Duong,2026-03-20 00:00:00,21.59,91,1013,2.94,111,10000,35,20.9333,106.3167
Hai Duong,2026-03-20 03:00:00,25.28,69,1014,4.91,157,10000,100,20.9333,106.3167
Hai Duong,2026-03-20 06:00:00,26.44,63,1012,5.92,160,10000,100,20.9333,106.3167
Hai Duong,2026-03-20 09:00:00,25.59,69,1010,6.86,146,10000,100,20.9333,106.3167
Hai Duong,2026-03-20 12:00:00,23.19,78,1012,3.79,141,10000,84,20.9333,106.3167
Hai Duong,2026-03-20 15:00:00,21.63,87,1014,2.84,141,10000,40,20.9333,106.3167
Hai Duong,2026-03-20 18:00:00,20.86,88,1013,2.62,114,10000,23,20.9333,106.3167
Hai Duong,2026-03-20 21:00:00,20.87,87,1013,3.32,96,10000,51,20.9333,106.3167
Hai Duong,2026-03-21 00:00:00,21.78,81,1014,3.42,102,10000,77,20.9333,106.3167
Hai Duong,2026-03-21 03:00:00,25.93,67,1016,4.44,143,10000,100,20.9333,106.3167
Hai Duong,2026-03-21 06:00:00,25.8,68,1013,4.21,164,10000,100,20.9333,106.3167
Hai Duong,2026-03-21 09:00:00,26.13,64,1012,5.06,155,10000,99,20.9333,106.3167
Hai Duong,2026-03-21 12:00:00,22.99,78,1012,3.73,135,10000,94,20.9333,106.3167
